Fichier;Composant;LOC;CLOC;CC;HV;CM;MI;Interprétation
GreetCommand.php;Command;34;0;3;402.12;0;82;Maintenable
RegistrationFormType.php;Form;52;2;2;401.54;0.04;90.31;"Très maintenable"
User.php;Entity;139;52;8;1090.05;0.37;93.45;"Très maintenable"
LoginController.php;Controller;20;0;2;203.12;0;94.38;"Très maintenable"
Epreuve.php;Entity;110;36;12;1014.16;0.33;94.83;"Très maintenable"
Competition.php;Entity;116;42;12;1017.78;0.36;95.37;"Très maintenable"
Championnat.php;Entity;102;34;9;831.83;0.33;98.04;"Très maintenable"
Sport.php;Entity;96;33;9;758.16;0.34;99.93;"Très maintenable"
RegistrationController.php;Controller;37;6;4;476.48;0.16;108.73;"Très maintenable"
SecurityController.php;Controller;26;2;2;279.18;0.08;109.3;"Très maintenable"
Kernel.php;Autre;8;0;2;18.09;0;121.8;"Très maintenable"
UserRepository.php;Repository;59;35;3;257.26;0.59;121.87;"Très maintenable"
ChampionnatController.php;Controller;30;12;2;126.66;0.4;131.78;"Très maintenable"
CompetitionController.php;Controller;30;12;2;126.66;0.4;131.78;"Très maintenable"
EpreuveController.php;Controller;23;8;2;102.57;0.35;135.25;"Très maintenable"
SportController.php;Controller;23;8;2;102.57;0.35;135.25;"Très maintenable"
ChampionnatRepository.php;Repository;43;31;2;48.43;0.72;137.81;"Très maintenable"
CompetitionRepository.php;Repository;43;31;2;48.43;0.72;137.81;"Très maintenable"
EpreuveRepository.php;Repository;43;31;2;48.43;0.72;137.81;"Très maintenable"
SportRepository.php;Repository;43;31;2;48.43;0.72;137.81;"Très maintenable"
SportTypeEnum.php;Enum;12;4;5;51.89;0.33;148.05;"Très maintenable"

"MI moyen du projet";116.35;;;;;;;"Très maintenable"
